file_name,source_space,target_space,affine,dim_order,key_age,source_age_pnd,target_age_pnd,source_key_age,target_key_age,padding_micron,transformation_resolution_micron,X_physical_size_micron,Y_physical_size_micron,Z_physical_size_micron,dim_flip,vector
4_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,4,5,4,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
4_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,4,6,4,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",2
4_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,4,7,4,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",3
5_pull_4.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,5,4,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
5_pull_4.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,5,6,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",-1
5_pull_4.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,5,7,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",-2
6_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,6,4,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",2
6_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,6,5,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
6_pull_5.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,6,7,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",-1
7_pull_6.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,4,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",3
7_pull_6.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,5,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",2
7_pull_6.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,6,7,4,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,8,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,9,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",2
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,10,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",3
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,11,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",4
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,12,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",5
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,13,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",6
7_pull_8.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",True,7,14,7,14,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",7
8_pull_7.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,8,7,14,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",1
8_pull_7.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,8,9,14,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",-1
8_pull_7.nii.gz,Demba,Demba,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]","[0, 1, 2]",False,8,10,14,7,"[[0, 0], [0, 0], [0, 0]]",20,11400,8000,14100,"[False, False, False]",-2
